,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
574,-79.515460253,43.757862204,575,GO-20061518676,2006/02/02 05:00:00+00,2006,February,Thursday,33,2,19,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
594,-79.515124825,43.7470881450001,595,GO-20061460806,2006/03/06 05:00:00+00,2006,March,Monday,65,6,15,Afternoon,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5151248248268,43.7470881449389
615,-79.512807423,43.751466738,616,GO-20061951585,2006/12/27 05:00:00+00,2006,December,Wednesday,361,27,23,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5128074227241,43.7514667384787
628,-79.516689325,43.7518500300001,629,GO-20061945284,2006/12/15 05:00:00+00,2006,December,Friday,349,15,17,Afternoon,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.516689324964,43.7518500304016
645,-79.501498199,43.7414941580001,646,GO-20061719753,2006/04/30 04:00:00+00,2006,April,Sunday,120,30,16,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5014981987246,43.7414941583243
650,-79.4764795689999,43.7626939250001,651,GO-20061734940,2006/08/10 04:00:00+00,2006,August,Thursday,222,10,23,Evening,D32,0,1,27,York University Heights,27,York University Heights (27),-79.4764795694916,43.7626939253106
661,-79.51937902,43.7644927540001,662,GO-20061932560,2006/12/27 05:00:00+00,2006,December,Wednesday,361,27,18,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5193790196916,43.7644927544044
664,-79.520698695,43.7567260210001,665,GO-20061730238,2006/07/27 04:00:00+00,2006,July,Thursday,208,27,15,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5206986946286,43.7567260208018
680,-79.511387056,43.75012851,681,GO-20072323169,2007/04/26 04:00:00+00,2007,April,Thursday,116,26,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
683,-79.511387056,43.75012851,684,GO-20071902459,2007/10/09 04:00:00+00,2007,October,Tuesday,282,9,20,Evening,D31,1,3,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
699,-79.520698695,43.7567260210001,700,GO-20072203276,2007/10/09 04:00:00+00,2007,October,Tuesday,282,9,20,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5206986946286,43.7567260208018
710,-79.491659068,43.7537345690001,711,GO-20072433615,2007/07/02 04:00:00+00,2007,July,Monday,183,2,0,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4916590681686,43.7537345694804
719,-79.5104455809999,43.7492207270001,720,GO-20072056197,2007/04/30 04:00:00+00,2007,April,Monday,120,30,22,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
721,-79.515460253,43.757862204,722,GO-20072494819,2007/12/29 05:00:00+00,2007,December,Saturday,363,29,21,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
723,-79.519288183,43.770266264,724,GO-20072426042,2007/08/16 04:00:00+00,2007,August,Thursday,228,16,18,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5192881828067,43.7702662644401
741,-79.5204011599999,43.768820546,742,GO-20071994745,2007/05/21 04:00:00+00,2007,May,Monday,141,21,13,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5204011599846,43.7688205461889
746,-79.514763739,43.76720514,747,GO-20072146577,2007/06/06 04:00:00+00,2007,June,Wednesday,157,6,0,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
